### General level information ###
AreaCount=1
MarioStart=None,16,1

### Area 1: main ###
Area=main
Flags=flying_fish
20 260
hills
ground_brown
3

# Blocks and Coins
169
block 1 14,224 BLOCK_SOLID_BROWN
block 2 18,50 BLOCK_SOLID_BROWN
block 3 11,177 BLOCK_YELLOW_COIN
block 4 14,225 BLOCK_SOLID_BROWN
block 5 11,178 BLOCK_YELLOW_COIN
block 6 14,226 BLOCK_SOLID_BROWN
block 7 16,16 BLOCK_SOLID_BROWN
block 8 11,179 BLOCK_YELLOW_COIN
block 9 14,227 BLOCK_SOLID_BROWN
block 10 19,33 BLOCK_SOLID_BROWN
block 11 11,180 BLOCK_YELLOW_COIN
block 12 14,228 BLOCK_SOLID_BROWN
block 13 11,181 BLOCK_YELLOW_COIN
block 14 14,229 BLOCK_SOLID_BROWN
block 15 11,182 BLOCK_YELLOW_COIN
block 16 11,183 BLOCK_YELLOW_COIN
block 17 17,14 BLOCK_SOLID_BROWN
block 18 17,15 BLOCK_SOLID_BROWN
block 19 17,12 BLOCK_SOLID_BROWN
block 20 17,13 BLOCK_SOLID_BROWN
block 21 15,225 BLOCK_SOLID_BROWN
block 22 15,224 BLOCK_SOLID_BROWN
block 23 19,50 BLOCK_SOLID_BROWN
block 24 15,227 BLOCK_SOLID_BROWN
block 25 18,33 BLOCK_SOLID_BROWN
block 26 15,226 BLOCK_SOLID_BROWN
block 27 17,16 BLOCK_SOLID_BROWN
block 28 15,229 BLOCK_SOLID_BROWN
block 29 15,228 BLOCK_SOLID_BROWN
block 30 16,15 BLOCK_SOLID_BROWN
block 31 16,14 BLOCK_SOLID_BROWN
block 32 16,13 BLOCK_SOLID_BROWN
block 33 12,226 BLOCK_SOLID_BROWN
block 34 12,227 BLOCK_SOLID_BROWN
block 35 17,33 BLOCK_SOLID_BROWN
block 36 16,50 BLOCK_SOLID_BROWN
block 37 12,228 BLOCK_SOLID_BROWN
block 38 12,229 BLOCK_SOLID_BROWN
block 39 15,223 BLOCK_SOLID_BROWN
block 40 11,131 BLOCK_YELLOW_COIN
block 41 13,227 BLOCK_SOLID_BROWN
block 42 16,33 BLOCK_SOLID_BROWN
block 43 11,130 BLOCK_YELLOW_COIN
block 44 13,226 BLOCK_SOLID_BROWN
block 45 11,129 BLOCK_YELLOW_COIN
block 46 13,225 BLOCK_SOLID_BROWN
block 47 17,50 BLOCK_SOLID_BROWN
block 48 15,192 BLOCK_SOLID_BROWN
block 49 11,134 BLOCK_YELLOW_COIN
block 50 11,133 BLOCK_YELLOW_COIN
block 51 13,229 BLOCK_SOLID_BROWN
block 52 11,132 BLOCK_YELLOW_COIN
block 53 13,228 BLOCK_SOLID_BROWN
block 54 15,203 BLOCK_SOLID_BROWN
block 55 15,204 BLOCK_SOLID_BROWN
block 56 13,148 BLOCK_YELLOW_COIN
block 57 10,228 BLOCK_SOLID_BROWN
block 58 13,149 BLOCK_YELLOW_COIN
block 59 10,229 BLOCK_SOLID_BROWN
block 60 19,103 BLOCK_SOLID_BROWN
block 61 13,150 BLOCK_YELLOW_COIN
block 62 16,85 BLOCK_SOLID_BROWN
block 63 17,67 BLOCK_SOLID_BROWN
block 64 13,147 BLOCK_YELLOW_COIN
